Course_Name,Level,Rating,Skills,Number of students,Platform
Hybrid Cloud Engineer,1,4.7,"Hyper-converged infrastructure,  Hybrid Cloud,  Public Cloud,  Private Cloud,  HCI Clusters,  Workload Management,  On premise,  Off premise
",88578,Udacity
Cloud Computing for Business Leaders,1,4.581818182,"Digital transformation,  leadership,  management,  cloud governance model,  novel cloud services,  operational efficiencies,  cloud center of excellence",99186,Udacity
Self Driving Car Engineer,2,4.581818182,"Computer Vision, Deep Learning, Sensor Fusion, Localization, Self-Driving Cars, Path Planning and Control",101974,Udacity
Differential Equations in Action,1,4.581818182,"Math, Differential Equations",88529,Udacity
Self-Driving Fundamentals: Featuring Apollo ,0,4.581818182,"Apollo HD Map, Localization, Perception, Prediction, Planning, Control",86380,Udacity
Introduction to Machine Learning using Microsoft Azure,1,4.581818182,"Machine Learning,  Azure,  Model Training,  Supervised &amp; Unsupervised Learning,  Responsible AI",98395,Udacity
AI Fundamentals,0,4.581818182,"Artificial Intelligence,  Machine Learning,  Azure,  Computer Vision,  Azure Cognitive Services,  Natural Language Processing,  Conversational AI",84107,Udacity
Linear Algebra Refresher Course,1,4.581818182,"Algebra, Python, Vectors, Intersections",93232,Udacity
Machine Learning: Unsupervised Learning,1,4.581818182,"Randomized Optimization, Clustering, Feature Selection, Feature Transformation, Information Theory",95151,Udacity
Big Data Analytics in Healthcare,1,4.581818182,"Data Analytics, Health Care Applications, Algorithms",101503,Udacity
Intro to Descriptive Statistics,0,4.581818182,"Descriptive Statistics, Estimation, Central Limit Theorem",92239,Udacity
Intel® Edge AI Fundamentals with OpenVINO,1,4.581818182,"Edge AI, Intel OpenVINO, Computer Vision, Deep Learning",94748,Udacity
Artificial Intelligence,1,4.581818182,"Artificial Intelligence, Probability, Bayesian Networks, Logic and Planning, Machine Learning",95353,Udacity
Model Building and Validation,2,4.581818182,"Questioning, Modeling, Validation, Data Analysis, QMV Process",98493,Udacity
Data Visualization and D3.js,1,4.581818182,"d3.js, Design of Visualizations, Data Visualization, Visual Encodings",93627,Udacity
Machine Learning for Trading,1,4.581818182,"Pandas, Time Series Analysis, Computational Investing, Algorithmic Trading, Reinforcement Learning for Trading",89937,Udacity
Machine Learning,1,4.581818182,"Supervised Learning, Unsupervised Learning, Information Theory, Reinforcement Learning, Game Theory",96085,Udacity
Intro to Hadoop and MapReduce,1,4.581818182,"Big Data, Hadoop, MapReduce",88799,Udacity
Real-Time Analytics with Apache Storm,1,4.581818182,"Data Analysis, Real-time Analytics, Apache Storm",86327,Udacity
A/B Testing,1,4.581818182,"A/B tests,  Results Analysis,  Statistical Significance ",102600,Udacity
Data Analysis with R,1,4.581818182,"R, Exploratory Data Analysis, Data Visualization",90896,Udacity
Knowledge-Based AI: Cognitive Systems,2,4.581818182,"Semantic Networks, Common-Sense Reasoning, Logic &amp; Planning, Analogical Reasoning, Visuospatial Reasoning",101131,Udacity
Introduction to TensorFlow Lite,1,4.581818182,"TensorFlow Lite, Deep Learning Models, Android, iOS, Linux",102137,Udacity
Introduction to Computer Vision,1,4.581818182,"Image Processing, Stereo Geometry, Feature Detection &amp; Matching, Object Tracking, Classification &amp; Recognition",102621,Udacity
Eigenvectors and Eigenvalues,0,4.581818182,"Linear Algebra, Eigenvectors, Eigenvalues",87199,Udacity
Intro to Artificial Intelligence,1,4.581818182,"Artificial Intelligence, Machine Learning, Probability, Logic and Planning, Markov models",99576,Udacity
Artificial Intelligence for Robotics,2,4.581818182,"Probabilistic Models, Kalman Filters, Motion Planning, Robot Control, Simultaneous Localization &amp; Mapping",103317,Udacity
Intro to Deep Learning with PyTorch,1,4.581818182,"Deep Learning, PyTorch, Neural Networks, CNNs, LSTMs, Style Transfer",86088,Udacity
AWS DeepRacer,1,4.581818182,"Machine Learning, Reinforcement Learning, AWS DeepRacer",84970,Udacity
Introduction to Machine Learning Course,1,4.581818182,"Machine Learning, Supervised Learning, Unsupervised Learning, Evaluation Metrics, Data Manipulation",100591,Udacity
Rapid Prototyping,1,4.581818182,"Prototyping, User Research, inVision",95154,Udacity
Product Design,1,4.581818182,"Product Design, Design Sprints, Ideation and Validation, UI/UX",94762,Udacity
App Monetization,1,4.581818182,"Product Design, Google Analytics",93016,Udacity
A/B Testing for Business Analysts,1,4.581818182,"A/B Randomized Design Tests, A/B Matched Pair Design Tests",86357,Udacity
Product Manager Interview Preparation,0,4.581818182,"Product Management, Interview Preparation, Career Advancement, Product Strategy, Technical Interview",90546,Udacity
Hybrid Cloud Fundamentals,1,4.581818182,"Hybrid Cloud, Nutanix, Hyperconverged Infrastructure, Prism web console, Private Cloud, Virtual Machine",103025,Udacity
Intro to Cloud Computing,0,4.581818182,"Cloud Computing,  AWS Console,  Compute Services,  Serverless Architecture,  Cloud Databases",89118,Udacity
Intro to Information Security,1,4.581818182,"Software Security, Cryptography, Network Security, Privacy, Public Policy",83531,Udacity
Cyber-Physical Systems Security,1,4.581818182,"Industrial Networks, Industrial Control Systems, Smart Grid Infrastructure, Cyber Security, Privacy",102364,Udacity
Network Security,1,4.581818182,"Basic elements of cryptography,  cryptanalysis and systems security,  security research",99235,Udacity
Creating an Analytical Dataset,0,4.581818182,"Data Issues, Data Formatting, Data Blending",86904,Udacity
Problem Solving with advancedAnalytics,0,4.581818182,Linear Regression,100461,Udacity
Classification Models,1,4.581818182,"Binary Classication Models, Non-Binary Classification Models",90779,Udacity
Segmentation and Clustering,1,4.581818182,"Variable Reduction, Clustering Models design",85344,Udacity
Time Series Forecasting,1,4.581818182,"Time Series Forecasting, ETS Models, ARIMA Models",87652,Udacity
App Marketing,1,4.581818182,"App Marketing, User Segmentation, Customer Acquisition",98306,Udacity
How to Build a Startup,1,4.581818182,"Entrepreneurship, Value Proposition, Revenue Models, Customer Segments",100686,Udacity
Get Your Startup Started,1,4.581818182,"Entrepreneurship, Bootstrapping",100659,Udacity
Managing Remote Teams with Upwork,0,4.581818182,"Team Management, Workforce Training, Business Strategy, Agile Management, Remote Work",98204,Udacity
Intro to Data Science,1,4.581818182,"Data Analysis Process, pandas (Python package), MapReduce paradigm",85006,Udacity
Intro to Data Analysis,0,4.581818182,"Data Analysis, Python, numpy, pandas",102430,Udacity
Database Systems Concepts & Design,1,4.581818182,"Database Management Systems, Relational Algebra, Sequential Query Language, Data Indexing, SQL Injection",85771,Udacity
Intro to Inferential Statistics,0,4.581818182,"Inferential Statistics, Hypothesis Testing, T-tests, ANOVA",102230,Udacity
Spark,1,4.581818182,"Spark, SparkSQL, Spark Dataframes, Data Wrangling, Machine Learning",87202,Udacity
Data Analysis and Visualization,1,4.581818182,"R, Data Analysis, Data Visualization, Regression",91411,Udacity
Microsoft Power Platform,0,4.581818182,"Microsoft Power Platform, Power Apps, Power Automate, Azure AI Builder",98612,Udacity
Web Tooling & Automation,1,4.581818182,"Installing Sublime Text, Installing Plugins, Gulp, Live Editing, ESLint",98906,Udacity
Front End Frameworks,2,4.581818182,"Single Page Applications, Building Angular apps, Building Ember apps, Underscore's template function, Backbone events and routing",100255,Udacity
Responsive Web Design Fundamentals,1,4.581818182,"Responsive design patterns, Remote debugging and emulation, Optimizing layout, CSS media queries, CSS flexbox",102858,Udacity
Linux Command Line Basics,0,4.581818182,"Command line interface (Linux server), Terminal and Shell (GNU Bash), Linux filesystem, Shell commands",86199,Udacity
How to Install Android Studio,0,4.581818182,"Android, Android Studio, Java",83382,Udacity
Android Basics: Multiscreen Apps,0,4.581818182,"Android Development, Intents and Activities, Data, Loops and Custom Classes, Images and Visual Polish, Audio and Libraries",88307,Udacity
Website Performance Optimization,1,4.581818182,"Chrome Developer Tools, DOM and CSSOM, Critical Rendering Path HTML, CSS and JavaScript optimizations",91816,Udacity
iOS Networking with Swift,2,4.581818182,"Networking, URLSession, JSON Parsing",88179,Udacity
JavaScript Design Patterns,2,4.581818182,"Separating concerns, Code organization, Using an Organizational Library, KnockoutJS",89570,Udacity
Android Basics: User Input,0,4.581818182,"Android Development, Java, Object-Oriented Programming, Conditional Code, Methods, Variables",92451,Udacity
Android Performance,2,4.581818182,"Android Development, Performance, Optimization",84732,Udacity
Responsive Images,1,4.581818182,"Responsive Images, Mobile Image debugging, Creating responsive graphics",102515,Udacity
Xcode Debugging,2,4.581818182,"Debugging, LLDB",92304,Udacity
Gradle for Android and Java,2,4.581818182,"Android Development, Gradle, Java",88129,Udacity
Build Native Mobile Apps with Flutter,1,4.581818182,Android Development,89183,Udacity
JavaScript Promises,2,4.581818182,"Native JavaScript Promises, Asynchronous code, advancederror handling, Generating sequences of async work",91880,Udacity
UIKit Fundamentals,1,4.581818182,"AutoLayout, Navigation, Table Views, Collection Views",99711,Udacity
Android Basics: User Interface,0,4.581818182,"Android Development, Building Layouts, Android Studio, Views and ViewGroups, Styling",102536,Udacity
Client-Server Communication,2,4.581818182,"HTTP request and response cycle, HTTP headers and verbs, HTTP/1 and HTTP/2 capabilities, HTTPS, Client-Server Communication",92124,Udacity
Building High Conversion Web Forms,1,4.581818182,"Research HTML5 input types, Datalist input, User input validation with HTML5 attributes, Validate user input using JavaScript, Optimizing forms",97291,Udacity
advancedAndroid App Development,2,4.581818182,"Android Development, Fragments, Libraries, Firebase, Espresso",93106,Udacity
Software Architecture & Design,1,4.581818182,"Unified Modeling Language, Object Constraint Language, Software Architecture, Software Design, Code Review",94974,Udacity
Authentication & Authorization: OAuth,1,4.581818182,"Flask, OAuth 2.0, Authentication &amp; Authorization, Python",91748,Udacity
Intro to iOS App Development with Swift,1,4.581818182,"Swift, UIKit, AVFoundation",96667,Udacity
Introduction to Operating Systems,1,4.581818182,"Processes &amp; Threads, Memory Management, Inter-Process Communication, Resource Virtualization, Distributed File Systems",90844,Udacity
Android Basics: Networking,0,4.581818182,"Android Development, JSON Parsing, HTTP Networking, Threads and Parallelism, Control Flow and Conditionals, Preferences",89545,Udacity
Web Accessibility,2,4.581818182,"Accessibility, Screen Readers, Focus, Semantics, ARIA",91807,Udacity
Android Basics: Data Storage,0,4.581818182,"Android Development, SQLite, ContentProvider, CursorAdapter &amp; CursorLoader, Database, Design",85978,Udacity
Scalable Microservices with Kubernetes,1,4.581818182,"Microservices, Docker, Kubernetes, Deploying Microservices",86644,Udacity
Developing Android Apps with Kotlin,1,4.581818182,Android Development,97282,Udacity
Browser Rendering Optimization,2,4.581818182,"Browser Rendering Response, Animation, Idle and Load (RAIL), Optimizing JavaScript, How to debug an app",87534,Udacity
Learn Swift Programming Syntax,1,4.581818182,"Variables and Constants, Control Flow, Functions, Optionals, OOP",89041,Udacity
Offline Web Applications,1,4.581818182,"Developing offline-first applications, Understanding Lie-Fi, Service Worker DevTools, IndexedDB, IndexedDB asset caching",95039,Udacity
Kotlin for Android Developers,2,4.581818182,"Kotlin, Android",95403,Udacity
UX Design for Mobile Developers,0,4.581818182,"Android, UX Design, User-Centered Design",99205,Udacity
Software Development Process,1,4.581818182,"Software Development Life Cycle, Requirements Engineering, Design Patterns, Black-Box &amp; White-Box Testing, Agile Development Methodology",96473,Udacity
Data Visualization in Tableau,0,4.581818182,"Tableau, Design of Visualizations, Visual Encodings",83963,Udacity
Intro to Progressive Web Apps,1,4.581818182,"Progressive Web Apps, Service Workers, Web App Manifest, Offline apps",89569,Udacity
Writing READMEs,0,4.581818182,"README, Markdown, Making code easier to read",97988,Udacity
Software Analysis & Testing,1,4.581818182,"Software Testing, Debugging, Dataflow Analysis, Constraint-based Analysis, Symbolic Execution",95791,Udacity
iOS Persistence and Core Data,2,4.581818182,"Data Persistence, Core Data, UserDefaults, FileManager",98973,Udacity
Computer Networking,1,4.581818182,"Software-Defined Networking, Data Center Networking, Content Distribution, Congestion Control, Traffic Shaping",86324,Udacity
Firebase Analytics: iOS,1,4.581818182,"Android Development, Firebase Analytics, Firebase Crash Reporting, Firebase Remote Config, Firebase Dynamic Links",94784,Udacity
Human-Computer Interaction,1,4.581818182,"Design Principles, Direct Manipulation Interfaces, Mental Models, Distributed Cognition, Prototyping",88021,Udacity
2D Game Development with libGDX,1,4.581818182,"LibGDX, Game Development, 2D",89418,Udacity
Intro to jQuery,1,4.581818182,"jQuery, DOM Structure, Reading jQuery documentation, Modify HTML attributes and content",102004,Udacity
How to create <anything> in Android,0,4.581818182,"Android, UI, App Development",92288,Udacity
Dynamic Web Applications with Sinatra,1,4.581818182,"Ruby, Sinatra, Building web applications",91420,Udacity
How to Make a Platformer Using libGDX,1,4.581818182,"LibGDX, Game Development, Asset management",88754,Udacity
JavaScript Testing,1,4.581818182,"Javascript Apps, Jasmine testing framework, red-green-refactor workflow",87243,Udacity
Object-Oriented JavaScript,1,4.581818182,"Object Oriented Javascript, Object-oriented programming, Data and functionality, Prototypal inheritance",92191,Udacity
Localization Essentials,0,4.581818182,"Localization, Google Translator Toolkit, Localization at Google",92689,Udacity
Compilers: Theory and Practice,1,4.581818182,"Compilers, Semantic Analysis, Syntax Directed Translation, Control Flow Analysis",85339,Udacity
HTML5 Canvas,0,4.581818182,"HTML5 Canvas, Canvas2D, Creating animation",90698,Udacity
Object Oriented Programming in Java,1,4.581818182,"Object-Oriented Programming, Java, User Interaction",92841,Udacity
Designing RESTful APIs,1,4.581818182,"Flask, REST APIs, Python",85669,Udacity
GT - Refresher - advancedOS,1,4.581818182,"Operating Systems, Virtual Memory, File Systems, Multithreaded Programming, Networking",96341,Udacity
Intro to JavaScript,0,4.581818182,"JavaScript, Conditionals, Loops, Data Types &amp; Variables",95836,Udacity
Grand Central Dispatch (GCD),1,4.581818182,"Closures, GCD",97093,Udacity
Continuous Integration and Deployment,1,4.581818182,"Continuous Integration, BuddyBuild, Automated Testing",90118,Udacity
Swift for Beginners,0,4.581818182,"Variables and Constants, Strings, Control Flow, Functions",95811,Udacity
Intro to Statistics,0,4.581818182,"Probability, Descriptive Statistics, Inferential Statistics",89343,Udacity
Intro to HTML and CSS,0,4.581818182,"HTML, CSS, CSS Syntax, HTML Syntax Problem Set",93447,Udacity
Developing Android Apps,1,4.581818182,"Android Development, Layouts, Intents, UI",100529,Udacity
Introduction to Virtual Reality,0,4.581818182,"VR development, Unity, Google VR SDK for Unity, General understanding of how VR works, Deploying to Android and iOS",92728,Udacity
Objective-C for Swift Developers,1,4.581818182,"iOS, Swift, Objective-C, Control Flow Syntax",97032,Udacity
Software Testing,1,4.581818182,"Software Testing, Debugging, Code Coverage",86905,Udacity
Interactive 3D Graphics,1,4.581818182,"Animated 3D Demo Program, Computer Image Generation, Programming Vertex and Pixel Shaders",97225,Udacity
Full Stack Foundations,1,4.581818182,"Flask, CRUD, Model-View-Controller, Python, Object-relational Mapping",93738,Udacity
High Performance Computer Architecture,2,4.581818182,"Processor Pipelining, Branch Prediction, Instruction Scheduling, Memory Ordering, Multiprocessor Architectures",97763,Udacity
AutoLayout,1,4.581818182,"Design, UI, Stack Views, Constraints",86083,Udacity
Kotlin Bootcamp for Programmers,1,4.581818182,Android Development,84462,Udacity
Core ML: Machine Learning for iOS,1,4.581818182,"iOS, Image Classification, Core ML",94430,Udacity
Statistics,0,4.581818182,"Statistical Research Methods, Data Visualization, Distributions, Hypothesis Testing, Regression",84799,Udacity
Intro to Theoretical Computer Science,1,4.581818182,"theoretical computer science, NP-completeness, Recognizing algorithmic problems, Solving algorithmic problems",90781,Udacity
Design of Computer Programs,2,4.581818182,"Computer Program Design, Python, Design Process",87209,Udacity
Data Wrangling with MongoDB,1,4.581818182,"Gathering Data, Assessing Data, Cleaning Data, Data Wrangling, MongoDB",89001,Udacity
Swift for Developers,0,4.581818182,"Variables and Constants, Strings, Control Flow, Functions",94167,Udacity
Firebase in a Weekend: Android,1,4.581818182,Android Development,94492,Udacity
Software Debugging,1,4.581818182,"Debugging, Python, Automated Debugging",101108,Udacity
Deploying a Hadoop Cluster,1,4.581818182,"Data Analysis, Hadoop, MapReduce",96249,Udacity
Server-Side Swift,1,4.581818182,"Swift Package Manager, MySQL, Docker, Terraform, Microservices",93765,Udacity
Programming Languages,1,4.581818182,"Introduciton to Programming Languages, Validate and Process Strings, HTML and JavaScript, Build your own web browser",97685,Udacity
Networking for Web Developers,0,4.581818182,"HTTP, Domain Name System, Ping, TCP/IP stack, IP addressing",94375,Udacity
Intro to Physics,0,4.581818182,"Kinematics, Dynamics, Trigonometry, Periodic Motion, Electricity",84191,Udacity
Intro to Relational Databases,1,4.581818182,"Rational databases, SQL, Python API, Python DB-API, Select and insert statements",98926,Udacity
ES6 - JavaScript Improved,2,4.581818182,"JavaScript, ES6, Syntax, Functions",87297,Udacity
Mobile Design and Usability for iOS,1,4.581818182,"Product Design, Prototyping",91371,Udacity
Intro to AJAX,1,4.581818182,"Asynchronous requests with JavaScript, Data APIs, Web Applications, Site Customization",86654,Udacity
Intro to Algorithms,1,4.581818182,"Algorithms, Social Networks, Graph Algorithms",98054,Udacity
The MVC Pattern in Ruby,1,4.581818182,"Ruby, Sinatra, MVC Design Pattern, Writing organized code",101198,Udacity
Asynchronous JavaScript Requests,1,4.581818182,"Asynchronous Data Retrieval, Ajax with XHR, Ajax with jQuery, Ajax with Fetch",98009,Udacity
Embedded Systems,1,4.581818182,"VLIW Architecture, Compilers for Embedded Systems, Differential Register Allocation, Network Processors, Multithreaded Processing",84105,Udacity
High Performance Computing,2,4.581818182,"Shared Memory Models, Parallel Algorithms, Distributed Memory Models, Message Passing Interfaces, Hierarchical Memory Models",86436,Udacity
HTTP & Web Servers,1,4.581818182,"HTTP, Python, Deploying services",96278,Udacity
advancedAndroid with Kotlin,1,4.581818182,"Kotlin, Android",102977,Udacity
advancedOperating Systems,2,4.581818182,"Operating System Kernels, Virtualization, Distributed Systems, Cloud Computing, Real-Time Operating Systems",98458,Udacity
Passwordless Login Solutions for iOS,1,4.581818182,"Account Kit, Facebook SDK, Graph API",94644,Udacity
Version Control with Git,0,4.581818182,"Git, Version Control, Creating a Git repo, Editing commits",94373,Udacity
Firebase in a Weekend: iOS,1,4.581818182,Android Development,92606,Udacity
Intro to Point & Click App Development,0,4.581818182,"Salesforce App Development, Schema Building, Data Modeling",99889,Udacity
Deploying Applications with Heroku,1,4.581818182,"App Deployment, Heroku",95390,Udacity
Applied Cryptography,2,4.581818182,"Cryptography, Ciphers, Encryption",90948,Udacity
Java Programming Basics,0,4.581818182,"Java Programming, Java Syntax, Java Functions, Loops",97376,Udacity
C++ For Programmers,1,4.581818182,"Pointers and Arrays, Control Flow, Object-Oriented Programming, C++ Templates, C++ Standard Library",95662,Udacity
Intro to Backend,1,4.581818182,"User Input, Producing templated output, Databases and data stores, Secure user account systems",103327,Udacity
Firebase Analytics: Android,1,4.581818182,"Android Development, Firebase, Analytics",85324,Udacity
How to Make an iOS App,2,4.581818182,"iOS, Ideation and Research, UI, App Store",85508,Udacity
Intro to DevOps,2,4.581818182,"DevOps, CAMS principles, Continuous Integration, Delivery workflows",83733,Udacity
Google Maps APIs,1,4.581818182,"Google Maps APIs, Static Maps, Street View imagery, monitoring API usage",97814,Udacity
Mobile Design and Usability for Android,1,4.581818182,"Android, Mobile Design, Usability",100147,Udacity
